Location,Crop,Rainfall,Temperature,Humidity,Date,Crop_Price
Chittoor,Chilli,1152,24,64,Jan-19,95
Chittoor,Chilli,947,33,68,Jan-19,94.7
Chittoor,Chilli,967,26,65,Jan-19,97.2
Chittoor,Chilli,1023,23,53,Jan-19,102.9
Chittoor,Chilli,1042,23,60,Jan-19,94.9
Chittoor,Chilli,1123,31,65,Feb-19,102.5
Chittoor,Chilli,854,24,61,Feb-19,83.1
Chittoor,Chilli,739,30,56,Feb-19,95.1
Chittoor,Chilli,951,23,56,Feb-19,102.6
Chittoor,Chilli,1185,27,56,Feb-19,86.6
Chittoor,Chilli,766,32,64,Mar-19,85.4
Chittoor,Chilli,851,23,52,Mar-19,85.2
Chittoor,Chilli,707,33,53,Mar-19,97
Chittoor,Chilli,840,25,56,Mar-19,86.7
Chittoor,Chilli,703,29,63,Mar-19,82.2
Chittoor,Chilli,734,28,56,Apr-19,98.2
Chittoor,Chilli,833,24,59,Apr-19,89.3
Chittoor,Chilli,1056,21,70,Apr-19,85.9
Chittoor,Chilli,756,27,70,Apr-19,94.5
Chittoor,Chilli,1174,26,65,Apr-19,98.1
Chittoor,Chilli,907,24,53,May-19,91.3
Chittoor,Chilli,985,22,54,May-19,108.8
Chittoor,Chilli,1181,24,57,May-19,96.8
Chittoor,Chilli,1186,27,60,May-19,110.5
Chittoor,Chilli,842,26,66,May-19,90.4
Chittoor,Chilli,1034,20,69,Jun-19,113.6
Chittoor,Chilli,742,26,53,Jun-19,109.1
Chittoor,Chilli,870,32,62,Jun-19,102.2
Chittoor,Chilli,1199,33,57,Jun-19,106.2
Chittoor,Chilli,605,22,65,Jun-19,104.7
Chittoor,Chilli,614,26,57,Jul-19,135.4
Chittoor,Chilli,684,20,64,Jul-19,128.3
Chittoor,Chilli,616,32,69,Jul-19,121.7
Chittoor,Chilli,616,33,62,Jul-19,114.4
Chittoor,Chilli,906,21,69,Jul-19,111.5
Chittoor,Chilli,1095,26,70,Aug-19,129.3
Chittoor,Chilli,859,29,52,Aug-19,121.7
Chittoor,Chilli,986,25,68,Aug-19,130.7
Chittoor,Chilli,1055,30,60,Aug-19,129.9
Chittoor,Chilli,1165,29,64,Aug-19,140.6
Chittoor,Chilli,1027,27,58,Sep-19,122.1
Chittoor,Chilli,951,22,63,Sep-19,126.2
Chittoor,Chilli,940,28,70,Sep-19,127.6
Chittoor,Chilli,980,26,69,Sep-19,136.1
Chittoor,Chilli,653,25,50,Sep-19,125.6
Chittoor,Chilli,704,25,50,Oct-19,125.2
Chittoor,Chilli,1180,26,50,Oct-19,115.7
Chittoor,Chilli,687,22,58,Oct-19,113.3
Chittoor,Chilli,790,20,62,Oct-19,118.9
Chittoor,Chilli,813,25,62,Oct-19,132.1
Chittoor,Chilli,684,24,69,Nov-19,106.2
Chittoor,Chilli,876,26,58,Nov-19,114.4
Chittoor,Chilli,1128,22,63,Nov-19,117.8
Chittoor,Chilli,1176,33,65,Nov-19,107
Chittoor,Chilli,770,21,62,Nov-19,124.2
Chittoor,Chilli,1152,30,54,Dec-19,110.3
Chittoor,Chilli,604,29,65,Dec-19,115.6
Chittoor,Chilli,1039,26,51,Dec-19,108.3
Chittoor,Chilli,809,33,55,Dec-19,114.5
Chittoor,Chilli,1070,23,67,Dec-19,105.8
Chittoor,Chilli,1158,33,58,Jan-20,105.3
Chittoor,Chilli,1181,32,64,Jan-20,98.8
Chittoor,Chilli,874,25,69,Jan-20,96.4
Chittoor,Chilli,957,28,63,Jan-20,100.9
Chittoor,Chilli,1186,23,52,Jan-20,92.9
Chittoor,Chilli,1154,22,65,Feb-20,83.6
Chittoor,Chilli,1076,22,70,Feb-20,92.1
